Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,N/A,竄ｹ19 Cr,4500 sqft,4500 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,N/A,Main Road,Freehold,3 Covered,5,Yes
4 BHK Apartment for Sale in Model Town New Delhi,N/A,竄ｹ5.50 Cr,3450 sqft,N/A,Ready to Move,7 out of 19,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",Freehold,2 Covered,4,Yes
7 BHK Villa for Sale in Janakpuri New Delhi,N/A,竄ｹ25 Cr,520 sqyrd,520 sqyrd,Ready to Move,N/A,Resale,Furnished,West,N/A,Freehold,8 Covered,7,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ7.13 Cr,2753 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
4 BHK Apartment for Sale in Chattarpur New Delhi,N/A,竄ｹ7.35 Cr,4046 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ7.13 Cr,2752 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
"3 BHK Builder Floor for Sale in Kishangarh, Vasant Kunj New Delhi",N/A,竄ｹ1.50 Cr,1200 sqft,1200 sqft,Ready to Move,1 out of 4,New Property,Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Paschim Vihar New Delhi,N/A,竄ｹ2.90 Cr,2225 sqft,2225 sqft,Ready to Move,2 out of 11,Resale,Unfurnished,North - West,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
"4 BHK Builder Floor for Sale in Hemkunt Colony, Greater Kailash New Delhi",N/A,竄ｹ10 Cr,3200 sqft,3200 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
3 BHK Builder Floor for Sale in Anand Vihar New Delhi,N/A,竄ｹ2.70 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,Main Road,Freehold,2 Covered,3,Yes
"4 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ11 Cr,2500 sqft,2500 sqft,Ready to Move,21 out of 35,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Dwarka Sector 9 New Delhi,N/A,竄ｹ2.72 Cr,1600 sqft,N/A,Ready to Move,4 out of 6,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,4,Yes
3 BHK Builder Floor for Sale in Pitam Pura New Delhi,N/A,竄ｹ1.70 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Commonwealth Games Village New Delhi,N/A,竄ｹ4.45 Cr,1849 sqft,1849 sqft,Ready to Move,3 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
3 BHK Apartment for Sale in Chattarpur New Delhi,N/A,竄ｹ5.05 Cr,2900 sqft,2900 sqft,Ready to Move,15 out of 24,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Freehold,2 Covered,4,Yes
4 BHK Builder Floor for Sale in Geetanjali Enclave Malviya Nagar New Delhi,N/A,竄ｹ10.50 Cr,342 sqyrd,N/A,Ready to Move,Ground out of 4,New Property,Semi-Furnished,West,N/A,Freehold,2 Covered,5,Yes
3 BHK Builder Floor for Sale in Block G Chittaranjan Park New Delhi,N/A,竄ｹ2.99 Cr,1400 sqft,1400 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Madhuban Enclave Preet Vihar New Delhi,N/A,竄ｹ3.75 Cr,2500 sqft,2500 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,3,Yes
2 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ2 Cr,1000 sqft,1000 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,N/A,Garden/Park,Freehold,"1 Covered,",2,Yes
2 BHK Apartment for Sale in Karol Bagh New Delhi,N/A,竄ｹ2.70 Cr,852 sqft,852 sqft,Ready to Move,6 out of 13,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",2,Yes
5 BHK House for Sale in Vishwas Nagar New Delhi,N/A,竄ｹ2.95 Cr,2100 sqft,2100 sqft,Ready to Move,1 out of 2,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Saket New Delhi,N/A,竄ｹ3 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,South,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK House for Sale in Mahavir Enclave Part 3 New Delhi,N/A,竄ｹ1.85 Cr,250 sqft,250 sqft,Ready to Move,N/A,Resale,Semi-Furnished,South -West,"Garden/Park, Main Road",Freehold,6 Open,3,Yes
"3 BHK Builder Floor for Sale in Maharani Bagh, New Friends Colony New Delhi",N/A,竄ｹ6.50 Cr,466 sqyrd,N/A,Ready to Move,2 out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,1 Open,3,Yes
5 BHK Builder Floor for Sale in Pusa Road New Delhi,N/A,竄ｹ4.90 Cr,220 sqyrd,220 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
9 BHK House for Sale in Old Rajinder Nagar New Delhi,N/A,竄ｹ10.50 Cr,2400 sqft,2400 sqft,Ready to Move,Ground out of 3,New Property,Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",5,Yes
4 BHK Apartment for Sale in Bijwasan New Delhi,N/A,竄ｹ6.66 Cr,2200 sqft,2200 sqft,N/A,9 out of 13,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",4,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ5.98 Cr,2300 sqft,N/A,N/A,36 out of 36,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
3 BHK Apartment for Sale in Punjabi Bagh New Delhi,N/A,竄ｹ2.50 Cr,1300 sqft,1300 sqft,Ready to Move,1 out of 5,Resale,Furnished,N/A,N/A,Freehold,2 Open,2,Yes
3 BHK Villa for Sale in Sultanpur New Delhi,N/A,竄ｹ9.95 Cr,4200 sqft,4200 sqft,Ready to Move,N/A,Resale,Furnished,N/A,Garden/Park,Freehold,N/A,4,Yes
4 BHK Apartment for Sale in Sector 5 Dwarka New Delhi,N/A,竄ｹ3.22 Cr,2200 sqft,2200 sqft,Ready to Move,3 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.18 Cr,1600 sqft,1600 sqft,Ready to Move,5 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ8.25 Cr,370 sqyrd,370 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Sector 7 Dwarka New Delhi,N/A,竄ｹ2.30 Cr,1550 sqft,1550 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ5.75 Cr,400 sqyrd,400 sqyrd,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,N/A,4,Yes
4 BHK Builder Floor for Sale in Freedom Fighter Colony New Delhi,N/A,竄ｹ1.55 Cr,1800 sqft,1800 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Power Of Attorney,N/A,4,Yes
3 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ2.42 Cr,1500 sqft,1500 sqft,Ready to Move,1 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.45 Cr,1650 sqft,1650 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
4 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,N/A,竄ｹ3.15 Cr,1750 sqft,1750 sqft,Ready to Move,7 out of 7,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ2.95 Cr,1900 sqft,1900 sqft,Ready to Move,3 out of 7,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Phase 2 Model Town New Delhi,N/A,竄ｹ3.75 Cr,2500 sqft,2500 sqft,Ready to Move,3 out of 4,New Property,Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Apartment for Sale in Sector 11 Dwarka New Delhi,N/A,竄ｹ3.52 Cr,1700 sqft,1700 sqft,Ready to Move,3 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.47 Cr,1800 sqft,1800 sqft,Ready to Move,3 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
4 BHK Apartment for Sale in Sector 19 Dwarka New Delhi,N/A,竄ｹ5.25 Cr,3200 sqft,3200 sqft,Ready to Move,3 out of 10,Resale,Furnished,North - East,Main Road,Freehold,"1 Covered,",5,Yes
4 BHK Apartment for Sale in Sector 5 Dwarka New Delhi,N/A,竄ｹ3.10 Cr,2200 sqft,2200 sqft,Ready to Move,6 out of 7,Resale,Semi-Furnished,South -West,"Garden/Park, Main Road",Co-operative Society,"1 Covered,",3,Yes
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ3.50 Cr,208 sqyrd,208 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ7.50 Cr,2400 sqft,2400 sqft,Ready to Move,3 out of 3,New Property,Furnished,N/A,Garden/Park,Freehold,1 Covered,4,Yes
3 BHK Apartment for Sale in Sector 4 Dwarka New Delhi,N/A,竄ｹ2.57 Cr,1600 sqft,1600 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Builder Floor for Sale in Greater Kailash Part 3 New Delhi,N/A,竄ｹ5.50 Cr,217 sqyrd,217 sqyrd,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,3,Yes
4 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,N/A,竄ｹ3.51 Cr,2000 sqft,2000 sqft,Ready to Move,7 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Dwarka Sector 3 New Delhi,N/A,竄ｹ2.35 Cr,1550 sqft,1550 sqft,Ready to Move,10 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Sector 5 Dwarka New Delhi,N/A,竄ｹ2.84 Cr,1500 sqft,1500 sqft,Ready to Move,6 out of 10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ2.40 Cr,1920 sqft,1920 sqft,Ready to Move,4 out of 10,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Sector 11 Dwarka New Delhi,N/A,竄ｹ2.54 Cr,1800 sqft,1800 sqft,Ready to Move,7 out of 7,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Jasola New Delhi,N/A,竄ｹ4.25 Cr,3250 sqft,3250 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,South -West,"Garden/Park, Pool",Freehold,N/A,4,Yes
3 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ6.50 Cr,1500 sqft,1500 sqft,Ready to Move,Ground out of 2,Resale,Unfurnished,North - East,Garden/Park,Freehold,N/A,3,Yes
4 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ3.51 Cr,2000 sqft,2000 sqft,Ready to Move,2 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Paschim Vihar New Delhi,N/A,竄ｹ4.10 Cr,2350 sqft,2350 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,West,Main Road,Freehold,"2 Covered,",4,Yes
3 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ2.25 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 7,Resale,Semi-Furnished,East,Garden/Park,Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ2.30 Cr,1500 sqft,N/A,Ready to Move,2 out of 7,Resale,Semi-Furnished,North - East,Garden/Park,N/A,N/A,2,Yes
4 BHK Builder Floor for Sale in Sector 23B Dwarka New Delhi,N/A,竄ｹ1.65 Cr,1510 sqft,1510 sqft,Ready to Move,1 out of 3,New Property,Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Covered,3,Yes
4 BHK Apartment for Sale in Dwarka Sector 3 New Delhi,N/A,竄ｹ3 Cr,1900 sqft,1900 sqft,Ready to Move,7 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
"3 BHK Builder Floor for Sale in Kailash hills, East Of Kailash New Delhi",N/A,竄ｹ4.50 Cr,1550 sqft,1550 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in LD block New Delhi,N/A,竄ｹ3 Cr,1700 sqft,1700 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,4,Yes
"2 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",N/A,竄ｹ1.80 Cr,1200 sqft,1200 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ6 Cr,1800 sqft,1800 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,2 Covered,3,Yes
"3 BHK Apartment for Sale in Sarita Vihar, Mathura Road New Delhi",N/A,竄ｹ2.55 Cr,1800 sqft,1800 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,2 Open,3,Yes
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ2.45 Cr,1650 sqft,1650 sqft,Ready to Move,3 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Dwarka Sector 3 New Delhi,N/A,竄ｹ2.26 Cr,1550 sqft,1550 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Open,2,Yes
4 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,N/A,竄ｹ3.51 Cr,2200 sqft,2200 sqft,Ready to Move,7 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
"2 BHK Builder Floor for Sale in Kailash Colony, Greater Kailash New Delhi",N/A,竄ｹ2.60 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,East,Garden/Park,Freehold,2 Open,2,Yes
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ6 Cr,300 sqyrd,300 sqyrd,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,"2 Covered,",5,Yes
"3 BHK Builder Floor for Sale in Jangpura Extension, Jangpura New Delhi",N/A,竄ｹ4.70 Cr,1441 sqft,1441 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,East,Garden/Park,Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ3.50 Cr,2350 sqft,2350 sqft,Ready to Move,7 out of 10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi,N/A,竄ｹ2.70 Cr,2200 sqft,2200 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,N/A,竄ｹ15 Cr,2500 sqft,2500 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,N/A,N/A,Freehold,3 Covered,4,Yes
3 BHK Apartment for Sale in ALAKNANDA mandakini apartments New Delhi,N/A,竄ｹ2.75 Cr,1450 sqft,1450 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Dwarka Sector 9 New Delhi,N/A,竄ｹ2.85 Cr,1650 sqft,1650 sqft,Ready to Move,3 out of 8,Resale,Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
6 BHK Builder Floor for Sale in Sector 16 Rohini New Delhi,N/A,竄ｹ3.45 Cr,2250 sqft,2250 sqft,Ready to Move,4 out of 4,New Property,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ3.70 Cr,1600 sqft,N/A,Ready to Move,1 out of 4,Resale,Furnished,North - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
4 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ3 Cr,1600 sqft,1600 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,N/A,Garden/Park,Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7.15 Cr,3200 sqft,3200 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,4,Yes
3 BHK Builder Floor for Sale in Phase 1 Vivek Vihar New Delhi,N/A,竄ｹ1.65 Cr,124 sqyrd,124 sqyrd,Ready to Move,4 out of 4,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in South Extension 2 New Delhi,N/A,竄ｹ9.59 Cr,2600 sqft,2600 sqft,Ready to Move,3 out of 5,New Property,Semi-Furnished,East,Garden/Park,Freehold,"2 Covered,",4,Yes
2 BHK Apartment for Sale in Alaknanda New Delhi,N/A,竄ｹ1.80 Cr,1300 sqft,1300 sqft,Ready to Move,Ground out of 3,Resale,Unfurnished,West,Garden/Park,Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.45 Cr,1600 sqft,1600 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Guru Harkishan Nagar New Delhi,N/A,竄ｹ3.99 Cr,2200 sqft,2200 sqft,Ready to Move,1 out of 4,New Property,Unfurnished,East,Garden/Park,Freehold,"3 Covered,",4,Yes
5 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,N/A,竄ｹ8.50 Cr,3900 sqft,3900 sqft,Ready to Move,9 out of 10,Resale,Furnished,North - East,Main Road,Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ8 Cr,3600 sqft,N/A,Ready to Move,Ground out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Sector C Vasant Kunj New Delhi,N/A,竄ｹ4 Cr,2000 sqft,N/A,Ready to Move,Ground out of 4,Resale,Semi-Furnished,North - East,"Main Road, Garden/Park",Freehold,N/A,2,Yes
