Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
4 BHK Builder Floor for Sale in Punjabi Bagh New Delhi,N/A,竄ｹ4.25 Cr,280 sqyrd,280 sqyrd,Ready to Move,4 out of 4,New Property,Semi-Furnished,North,Garden/Park,Freehold,"2 Covered,",4,Yes
3 BHK Builder Floor for Sale in Block J Saket New Delhi,N/A,竄ｹ3.60 Cr,1450 sqft,1450 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,North - West,Garden/Park,Freehold,1 Covered,3,Yes
4 BHK Builder Floor for Sale in Shanti Kunj Main New Delhi,N/A,竄ｹ4.25 Cr,3600 sqft,3600 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,3 Covered,5,Yes
3 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,N/A,竄ｹ3.40 Cr,160 sqyrd,160 sqyrd,Ready to Move,Ground out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 7 Dwarka New Delhi,N/A,竄ｹ2.20 Cr,1400 sqft,1400 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,North - East,Garden/Park,Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7.75 Cr,300 sqyrd,N/A,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,N/A,4,Yes
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ2.74 Cr,1644 sqft,1644 sqft,Ready to Move,1 out of 7,Resale,Semi-Furnished,East,Main Road,Freehold,1 Covered,2,Yes
3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi,N/A,竄ｹ2.48 Cr,1900 sqft,1900 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7.25 Cr,300 sqyrd,300 sqyrd,Ready to Move,1 out of 4,New Property,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",4,Yes
4 BHK Builder Floor for Sale in Block A3 Janakpuri New Delhi,N/A,竄ｹ4.95 Cr,2900 sqft,2900 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,2,Yes
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ10.50 Cr,3500 sqft,3500 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,N/A,5,Yes
4 BHK Builder Floor for Sale in Dera Mandi New Delhi,N/A,竄ｹ1.65 Cr,2228 sqft,2228 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,"Main Road, Garden/Park",Freehold,N/A,4,Yes
4 BHK Builder Floor for Sale in Sarvapriya Vihar New Delhi,N/A,竄ｹ6.75 Cr,2100 sqft,2100 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,"Garden/Park, Pool",Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Gulmohar Park New Delhi,N/A,竄ｹ7.25 Cr,2400 sqft,2400 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North,Garden/Park,Freehold,"2 Covered,",5,Yes
3 BHK Builder Floor for Sale in Rani Bagh Pitam Pura New Delhi,N/A,竄ｹ1.65 Cr,1650 sqft,1650 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Janakpuri New Delhi,N/A,竄ｹ6 Cr,325 sqyrd,325 sqyrd,Ready to Move,2 out of 4,New Property,Semi-Furnished,East,Main Road,Freehold,2 Covered,4,Yes
4 BHK Builder Floor for Sale in Model Town New Delhi,N/A,竄ｹ4.75 Cr,2400 sqft,2400 sqft,Ready to Move,2 out of 4,New Property,Furnished,South - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
2 BHK Builder Floor for Sale in Lajpat Nagar 2 New Delhi,N/A,竄ｹ2.35 Cr,900 sqft,900 sqft,Ready to Move,Ground out of 4,New Property,Unfurnished,East,Garden/Park,Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Ashok Vihar New Delhi,N/A,竄ｹ2.75 Cr,1300 sqft,1300 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,North - West,Garden/Park,Freehold,N/A,3,Yes
2 BHK Apartment for Sale in Sector 9 New Delhi,N/A,竄ｹ1.59 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,N/A,竄ｹ2.38 Cr,1500 sqft,1500 sqft,Ready to Move,5 out of 7,Resale,Furnished,North - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
"4 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ9.05 Cr,2000 sqft,2000 sqft,N/A,42 out of 42,New Property,Unfurnished,North - East,N/A,Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ4.85 Cr,2500 sqft,2500 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,North - East,Garden/Park,Freehold,N/A,4,Yes
2 BHK Apartment for Sale in Munirka New Delhi,N/A,竄ｹ1.80 Cr,1200 sqft,N/A,Ready to Move,1 out of 3,Resale,Unfurnished,North - East,"Pool, Garden/Park, Main Road",Freehold,N/A,2,Yes
"3 BHK Apartment for Sale in Munirka Vihar, Munirka New Delhi",N/A,竄ｹ3.25 Cr,1500 sqft,1500 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,1 Open,4,Yes
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,N/A,竄ｹ11 Cr,5000 sqft,5000 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,3 Covered,4,Yes
3 BHK Builder Floor for Sale in Lajpat Nagar 2 New Delhi,N/A,竄ｹ3.15 Cr,1350 sqft,1350 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - West,Garden/Park,Freehold,N/A,3,Yes
3 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,N/A,竄ｹ2.68 Cr,2000 sqft,N/A,Ready to Move,3 out of 8,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,N/A,竄ｹ6.25 Cr,2000 sqft,2000 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,Garden/Park,Freehold,N/A,4,Yes
4 BHK Builder Floor for Sale in South Extension 2 New Delhi,N/A,竄ｹ13.50 Cr,2500 sqft,2500 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,4,N/A
"4 BHK Builder Floor for Sale in Yojna Vihar, Anand Vihar New Delhi",N/A,竄ｹ6.80 Cr,280 sqyrd,280 sqyrd,Ready to Move,2 out of 4,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Freehold,N/A,4,Yes
"3 BHK Builder Floor for Sale in Uday Park, South Extension New Delhi",N/A,竄ｹ5.25 Cr,1600 sqft,1600 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,East,N/A,Freehold,"2 Covered,",4,Yes
4 BHK House for Sale in Civil Lines New Delhi,N/A,竄ｹ10.98 Cr,416 sqyrd,N/A,Ready to Move,Ground out of 3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Builder Floor for Sale in Vivek Vihar New Delhi,N/A,竄ｹ2.10 Cr,120 sqyrd,120 sqyrd,Ready to Move,Ground out of 3,New Property,Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ5.90 Cr,1876 sqft,1876 sqft,Ready to Move,11 out of 36,New Property,Semi-Furnished,North - East,Garden/Park,Leasehold,1 Covered,3,Yes
2 BHK Apartment for Sale in Sector 17 Dwarka New Delhi,N/A,竄ｹ1.60 Cr,850 sqft,850 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,1 Open,2,Yes
3 BHK Apartment for Sale in Alaknanda New Delhi,N/A,竄ｹ1.90 Cr,1800 sqft,1800 sqft,Ready to Move,Ground out of 3,Resale,Unfurnished,N/A,Garden/Park,Freehold,N/A,2,Yes
5 BHK Builder Floor for Sale in Janakpuri New Delhi,N/A,竄ｹ3.50 Cr,400 sqft,400 sqft,Ready to Move,2 out of 3,Resale,Furnished,East,Main Road,Freehold,"1 Covered,",4,Yes
3 BHK Builder Floor for Sale in Inder Puri New Delhi,N/A,竄ｹ1.90 Cr,2250 sqft,2250 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,North - West,Main Road,Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Block B1 Janakpuri New Delhi,N/A,竄ｹ3.50 Cr,200 sqyrd,200 sqyrd,Ready to Move,3 out of 3,New Property,Unfurnished,North,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Vikaspuri New Delhi,N/A,竄ｹ2.05 Cr,1750 sqft,1750 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,North,Garden/Park,Freehold,1 Open,4,Yes
3 BHK Apartment for Sale in Sector 13 Rohini New Delhi,N/A,竄ｹ2.47 Cr,1150 sqft,1150 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,N/A,Garden/Park,Freehold,1 Open,2,Yes
5 BHK Apartment for Sale in Kalkaji Extension New Delhi,N/A,竄ｹ1.95 Cr,1800 sqft,1800 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,N/A,3,Yes
3 BHK Builder Floor for Sale in Block B1 Paschim Vihar New Delhi,N/A,竄ｹ3.60 Cr,185 sqyrd,185 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,South - East,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
4 BHK Builder Floor for Sale in Block E Greater Kailash 2 New Delhi,N/A,竄ｹ15.25 Cr,530 sqyrd,530 sqyrd,Ready to Move,3 out of 4,Resale,Semi-Furnished,West,Main Road,Freehold,"3 Covered,",6,Yes
2 BHK Apartment for Sale in Rajouri Garden New Delhi,N/A,竄ｹ1.75 Cr,950 sqft,950 sqft,Ready to Move,2 out of 3,Resale,Furnished,East,Garden/Park,Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Arjun Nagar Safdarjung Enclave New Delhi,N/A,竄ｹ1.58 Cr,1370 sqft,1370 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,East,Main Road,Freehold,1 Covered,3,Yes
3 BHK Builder Floor for Sale in Block D2 Janakpuri New Delhi,N/A,竄ｹ2.75 Cr,1150 sqft,1150 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,West,Garden/Park,Freehold,"1 Covered,",3,Yes
3 BHK Builder Floor for Sale in Block B1 Janakpuri New Delhi,N/A,竄ｹ2.75 Cr,1350 sqft,1350 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,N/A,Main Road,Freehold,N/A,3,Yes
3 BHK Apartment for Sale in Sector 11 Rohini New Delhi,N/A,竄ｹ1.50 Cr,1100 sqft,1100 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7 Cr,2700 sqft,2700 sqft,Ready to Move,1 out of 2,Resale,Semi-Furnished,N/A,Main Road,Freehold,N/A,3,Yes
3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ3.75 Cr,1500 sqft,1500 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,N/A
4 BHK Apartment for Sale in Jasola Vihar New Delhi,N/A,竄ｹ2.50 Cr,1750 sqft,1750 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,N/A,3,N/A
3 BHK Apartment for Sale in Pocket 6 Sector 1 Nasirpur New Delhi,N/A,竄ｹ1.70 Cr,1250 sqft,1250 sqft,Ready to Move,2 out of 7,Resale,Semi-Furnished,South - East,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
4 BHK Apartment for Sale in Sector 5 Dwarka New Delhi,N/A,竄ｹ3.05 Cr,1450 sqft,1450 sqft,Ready to Move,7 out of 7,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK House for Sale in Aya Nagar New Delhi,N/A,竄ｹ2.30 Cr,1500 sqft,1500 sqft,Ready to Move,Ground out of 2,Resale,Semi-Furnished,East,Garden/Park,Power Of Attorney,"1 Covered,",3,Yes
5 BHK House for Sale in Maujpur New Delhi,N/A,竄ｹ3.25 Cr,1800 sqft,N/A,Ready to Move,N/A,Resale,Furnished,East,N/A,Freehold,2 Open,3,Yes
4 BHK House for Sale in Rajendra Park Rajinder Nagar New Delhi,N/A,竄ｹ12 Cr,350 sqyrd,350 sqyrd,Ready to Move,1 out of 4,Resale,Unfurnished,N/A,Main Road,Freehold,N/A,6,Yes
3 BHK Apartment for Sale in East Patel Nagar New Delhi,N/A,竄ｹ2.40 Cr,1800 sqft,N/A,Ready to Move,1 out of 4,Resale,Unfurnished,North - East,Main Road,Freehold,N/A,4,N/A
3 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ1.99 Cr,900 sqft,900 sqft,Ready to Move,2 out of 4,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,N/A,2,N/A
3 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ2.10 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 3,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK Apartment for Sale in Prasad Nagar New Delhi,N/A,竄ｹ2 Cr,1100 sqft,1100 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,2 Open,2,Yes
2 BHK Apartment for Sale in Sector 9 Rohini New Delhi,N/A,竄ｹ1.90 Cr,1000 sqft,1000 sqft,Ready to Move,2 out of 3,Resale,Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
4 BHK Apartment for Sale in Sector 22 Dwarka New Delhi,N/A,竄ｹ3.10 Cr,2400 sqft,N/A,Ready to Move,2 out of 10,Resale,Semi-Furnished,East,Garden/Park,Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Block B Chittaranjan Park New Delhi,N/A,竄ｹ3.30 Cr,1350 sqft,1350 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,N/A,3,Yes
3 BHK Apartment for Sale in Patparganj New Delhi,N/A,竄ｹ1.85 Cr,1150 sqft,1150 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
3 BHK Builder Floor for Sale in Janakpuri New Delhi,N/A,竄ｹ3.30 Cr,1250 sqft,1250 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,Main Road,Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in A 2B Block Paschim Vihar New Delhi,N/A,竄ｹ1.85 Cr,900 sqft,900 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,N/A
9 BHK House for Sale in Kohat Enclave New Delhi,N/A,竄ｹ29 Cr,3900 sqft,3900 sqft,Ready to Move,Ground out of 4,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,1 Open,10,Yes
3 BHK Builder Floor for Sale in Kirti Nagar New Delhi,N/A,竄ｹ3.60 Cr,190 sqyrd,190 sqyrd,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Main Road,Freehold,N/A,3,Yes
3 BHK Builder Floor for Sale in Mausam Vihar New Delhi,N/A,竄ｹ3.10 Cr,1700 sqft,1700 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Lajpat Nagar New Delhi,N/A,竄ｹ2.10 Cr,103 sqm,103 sqm,Ready to Move,Ground out of 4,Resale,Unfurnished,East,Garden/Park,Freehold,N/A,1,Yes
"3 BHK Builder Floor for Sale in Dayanand Vihar, Anand Vihar New Delhi",N/A,竄ｹ2 Cr,1500 sqft,1500 sqft,Ready to Move,2 out of 4,Resale,Furnished,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ6 Cr,3500 sqft,3500 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,East,Main Road,Freehold,2 Covered,4,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ2.95 Cr,1150 sqft,1150 sqft,Ready to Move,2 out of 30,Resale,Semi-Furnished,West,Garden/Park,Freehold,N/A,2,Yes
2 BHK Builder Floor for Sale in Kalkaji New Delhi,N/A,竄ｹ1.87 Cr,900 sqft,900 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,South - East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK House for Sale in Bhajanpura New Delhi,N/A,竄ｹ2.60 Cr,1200 sqft,1200 sqft,Ready to Move,1 out of 2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Vasundhara Enclave New Delhi,N/A,竄ｹ2 Cr,1100 sqft,1100 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
2 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ1.90 Cr,1000 sqft,1000 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,2,N/A
4 BHK Builder Floor for Sale in Kalyan Vihar New Delhi,N/A,竄ｹ5.25 Cr,3100 sqft,3100 sqft,Ready to Move,4 out of 4,Resale,Furnished,South -West,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Apartment for Sale in Kalkaji New Delhi,N/A,竄ｹ2.40 Cr,1300 sqft,1300 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,N/A,Garden/Park,Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Rajouri Garden New Delhi,N/A,竄ｹ3.60 Cr,190 sqyrd,190 sqyrd,Ready to Move,N/A,New Property,Semi-Furnished,East,Main Road,Freehold,2 Covered,3,Yes
3 BHK Builder Floor for Sale in Gagan Vihar Krishna Nagar New Delhi,N/A,竄ｹ1.80 Cr,1500 sqft,1500 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
2 BHK Apartment for Sale in Central Market Lajpat Nagar 2 New Delhi,N/A,竄ｹ1.50 Cr,850 sqft,850 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,West,Garden/Park,Freehold,1 Open,2,Yes
3 BHK Apartment for Sale in Sector 11 Dwarka New Delhi,N/A,竄ｹ3.50 Cr,1776 sqft,1776 sqft,Ready to Move,10 out of 10,Resale,Semi-Furnished,South - East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
4 BHK Apartment for Sale in Sector 18 Dwarka New Delhi,N/A,竄ｹ4 Cr,1800 sqft,1800 sqft,Ready to Move,9 out of 10,Resale,Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Apartment for Sale in Pocket 10 Sector B Vasant Kunj New Delhi,N/A,竄ｹ5 Cr,1634 sqft,1634 sqft,Ready to Move,1 out of 3,New Property,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Kalkaji New Delhi,N/A,竄ｹ2.70 Cr,1700 sqft,1700 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,3,Yes
5 BHK Apartment for Sale in Pocket A Sector 17 Dwarka New Delhi,N/A,竄ｹ4 Cr,1500 sqft,1500 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,4,Yes
3 BHK Builder Floor for Sale in Block D Chittaranjan Park New Delhi,N/A,竄ｹ2.60 Cr,1250 sqft,1250 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,North - West,Main Road,Freehold,N/A,2,Yes
3 BHK Apartment for Sale in Sector 23 Dwarka New Delhi,N/A,竄ｹ2.50 Cr,1250 sqft,1250 sqft,Ready to Move,Ground out of 6,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Dwarka Sector 3 New Delhi,N/A,竄ｹ3.05 Cr,1950 sqft,1950 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,East,Garden/Park,Freehold,N/A,3,Yes
